date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Mannheim_Hbf.in,Mannheim_Hbf.out,Mainz_Hbf.in,Mainz_Hbf.out,Wiesbaden_Hbf.in,Wiesbaden_Hbf.out,Limburg_Süd.in,Limburg_Süd.out,Montabaur.in,Montabaur.out,Siegburg/Bonn.in,Siegburg/Bonn.out,Köln/Bonn_Flughafen.in,Köln/Bonn_Flughafen.out,Köln_Hbf.in,Köln_Hbf.out
2024-05-30,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,-1.0,1.0,0.0,0.0,1.0,2.0,4.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-1.0
2024-05-27,-1.0,9.0,6.0,6.0,6.0,5.0,7.0,8.0,12.0,8.0,6.0,4.0,1.0,2.0,1.0,1.0,12.0,11.0,13.0,21.0,48.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-05-21,-1.0,2.0,0.0,1.0,3.0,2.0,8.0,8.0,11.0,10.0,7.0,1.0,9.0,9.0,8.0,8.0,6.0,6.0,6.0,6.0,7.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,2.0,3.0,2.0,8.0,8.0,12.0,13.0,14.0,11.0,9.0,6.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-05-16,-1.0,36.0,33.0,31.0,33.0,33.0,33.0,34.0,35.0,31.0,30.0,24.0,24.0,24.0,22.0,23.0,21.0,20.0,20.0,22.0,23.0,-1.0
2024-05-15,-1.0,3.0,1.0,1.0,3.0,4.0,6.0,6.0,3.0,5.0,3.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,9.0,-1.0
2024-05-14,-1.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,6.0,-1.0
2024-05-13,-1.0,13.0,10.0,9.0,8.0,8.0,7.0,9.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,12.0,-1.0
2024-05-10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-09,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,3.0,0.0,0.0,1.0,2.0,3.0,6.0,9.0,5.0,4.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,3.0,7.0,-1.0
2024-05-07,-1.0,1.0,0.0,0.0,4.0,4.0,6.0,6.0,6.0,1.0,1.0,1.0,2.0,6.0,5.0,6.0,16.0,15.0,16.0,16.0,17.0,-1.0
2024-05-06,-1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,6.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,2.0,0.0,0.0,5.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,8.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,0.0,0.0,-1.0
2024-04-29,-1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,6.0,5.0,4.0,5.0,3.0,3.0,2.0,2.0,4.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,4.0,1.0,0.0,0.0,3.0,15.0,23.0,26.0,26.0,28.0,28.0,27.0,39.0,-1.0
2024-04-25,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,6.0,5.0,5.0,2.0,1.0,2.0,1.0,17.0,-1.0
2024-04-24,-1.0,1.0,0.0,0.0,4.0,4.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0,9.0,-1.0
2024-04-23,-1.0,2.0,0.0,1.0,0.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,-1.0
2024-04-22,-1.0,3.0,0.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,1.0,1.0,2.0,6.0,8.0,10.0,11.0,6.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,6.0,8.0,-1.0
2024-04-18,-1.0,1.0,0.0,0.0,1.0,2.0,5.0,6.0,5.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,-1.0
2024-04-17,-1.0,4.0,3.0,13.0,36.0,35.0,35.0,35.0,50.0,45.0,46.0,43.0,40.0,41.0,40.0,40.0,38.0,37.0,38.0,38.0,42.0,-1.0
2024-04-16,-1.0,0.0,0.0,1.0,3.0,4.0,4.0,5.0,3.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,-1.0
2024-04-15,-1.0,3.0,1.0,1.0,7.0,7.0,10.0,11.0,18.0,12.0,12.0,9.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,8.0,-1.0
2024-04-12,-1.0,7.0,4.0,3.0,3.0,5.0,9.0,9.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,20.0,24.0,-1.0
2024-04-11,-1.0,1.0,0.0,0.0,5.0,6.0,12.0,12.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,10.0,-1.0
2024-04-10,-1.0,16.0,13.0,18.0,18.0,18.0,20.0,21.0,26.0,21.0,20.0,16.0,12.0,12.0,10.0,10.0,23.0,22.0,22.0,22.0,23.0,-1.0
2024-04-09,-1.0,4.0,3.0,4.0,6.0,6.0,9.0,9.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,4.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,1.0,3.0,3.0,3.0,5.0,7.0,7.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,4.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,13.0,8.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,-1.0
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,21.0,16.0,13.0,8.0,11.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,11.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,3.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
