date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Halle(Saale)Hbf.in,Halle(Saale)Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out
2024-05-30,-1.0,1.0,9.0,9.0,9.0,9.0,10.0,10.0,6.0,6.0,6.0,-1.0
2024-05-29,-1.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,-1.0
2024-05-28,-1.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,7.0,-1.0
2024-05-27,-1.0,4.0,2.0,5.0,2.0,0.0,0.0,0.0,4.0,3.0,6.0,-1.0
2024-05-26,-1.0,2.0,-1.0,0.0,3.0,2.0,13.0,13.0,12.0,11.0,12.0,-1.0
2024-05-25,-1.0,-1.0,-1.0,10.0,19.0,19.0,9.0,9.0,12.0,11.0,13.0,-1.0
2024-05-24,-1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-05-23,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,14.0,24.0,-1.0
2024-05-22,-1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,-1.0
2024-05-21,-1.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,4.0,4.0,10.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,41.0,41.0,48.0,-1.0
2024-05-19,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,-1.0
2024-05-18,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,63.0,62.0,67.0,-1.0
2024-05-16,-1.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,6.0,-1.0
2024-05-15,-1.0,2.0,0.0,1.0,0.0,-1.0,2.0,3.0,78.0,78.0,78.0,-1.0
2024-05-14,-1.0,3.0,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,1.0,2.0,-1.0
2024-05-13,-1.0,9.0,5.0,3.0,6.0,5.0,3.0,3.0,20.0,20.0,28.0,-1.0
2024-05-12,-1.0,1.0,0.0,0.0,15.0,15.0,8.0,8.0,20.0,21.0,21.0,-1.0
2024-05-11,-1.0,23.0,-1.0,0.0,46.0,46.0,37.0,38.0,38.0,38.0,39.0,-1.0
2024-05-10,-1.0,20.0,9.0,9.0,7.0,5.0,2.0,2.0,46.0,46.0,46.0,-1.0
2024-05-02,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
2024-04-29,-1.0,1.0,13.0,13.0,15.0,13.0,14.0,15.0,18.0,18.0,18.0,-1.0
2024-04-28,-1.0,0.0,15.0,13.0,18.0,18.0,9.0,9.0,1.0,1.0,5.0,-1.0
2024-04-27,-1.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,-1.0
2024-04-26,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-1.0
2024-04-25,-1.0,0.0,0.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,5.0,-1.0
2024-04-24,-1.0,10.0,-1.0,0.0,20.0,20.0,16.0,16.0,9.0,10.0,9.0,-1.0
2024-04-23,-1.0,0.0,-1.0,0.0,5.0,2.0,0.0,2.0,0.0,0.0,1.0,-1.0
2024-04-22,-1.0,4.0,0.0,0.0,4.0,2.0,0.0,1.0,3.0,3.0,3.0,-1.0
2024-04-21,-1.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,-1.0
2024-04-20,-1.0,0.0,35.0,34.0,30.0,30.0,21.0,21.0,14.0,14.0,16.0,-1.0
2024-04-19,-1.0,0.0,-1.0,0.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,-1.0
2024-04-18,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,-1.0
2024-04-17,-1.0,1.0,1.0,0.0,4.0,4.0,0.0,0.0,7.0,7.0,6.0,-1.0
2024-04-16,-1.0,0.0,-1.0,0.0,4.0,2.0,0.0,0.0,5.0,5.0,5.0,-1.0
