date,Leipzig_Hbf.in,Leipzig_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-27,-1.0,65.0,65.0,65.0,74.0,73.0,65.0,-1.0
2024-05-26,-1.0,0.0,0.0,0.0,2.0,10.0,0.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,2.0,1.0,0.0,-1.0
2024-05-24,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-23,-1.0,10.0,10.0,10.0,20.0,19.0,17.0,-1.0
2024-05-20,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-05-18,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-17,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
2024-05-12,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,-1.0
2024-05-11,-1.0,0.0,0.0,0.0,25.0,28.0,22.0,-1.0
2024-05-10,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-26,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-21,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-19,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,3.0,2.0,0.0,-1.0
2024-04-14,-1.0,0.0,0.0,0.0,4.0,4.0,1.0,-1.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,13.0,14.0,10.0,-1.0
2024-04-07,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-05,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
