date,Hamburg-Altona.in,Hamburg-Altona.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Büchen.in,Büchen.out,Ludwigslust.in,Ludwigslust.out,Wittenberge.in,Wittenberge.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-26,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,7.0,7.0,22.0,22.0,21.0,29.0,0.0,0.0,27.0,-1.0
2024-05-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-24,-1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,1.0,0.0,1.0,0.0,11.0,12.0,13.0,12.0,12.0,8.0,8.0,4.0,4.0,15.0,16.0,14.0,-1.0,0.0,0.0
2024-05-19,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-17,-1.0,1.0,3.0,3.0,5.0,4.0,6.0,5.0,5.0,6.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,-1.0,0.0,0.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-12,-1.0,26.0,0.0,26.0,26.0,25.0,27.0,26.0,25.0,25.0,24.0,23.0,20.0,19.0,20.0,19.0,19.0,-1.0,0.0,0.0
2024-05-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-08,-1.0,1.0,1.0,1.0,0.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-05,-1.0,1.0,5.0,6.0,6.0,6.0,7.0,7.0,4.0,3.0,3.0,3.0,3.0,3.0,9.0,11.0,1.0,-1.0,0.0,0.0
2024-05-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-03,-1.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,0.0,-1.0,0.0,0.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-28,-1.0,1.0,1.0,3.0,5.0,4.0,6.0,5.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-26,-1.0,-1.0,-1.0,-1.0,0.0,32.0,41.0,41.0,39.0,39.0,35.0,34.0,29.0,29.0,28.0,28.0,-1.0,-1.0,0.0,0.0
2024-04-25,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-20,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-19,-1.0,1.0,2.0,1.0,0.0,0.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-18,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-14,-1.0,2.0,2.0,2.0,0.0,6.0,7.0,7.0,5.0,5.0,1.0,1.0,0.0,0.0,4.0,4.0,-1.0,-1.0,0.0,0.0
2024-04-13,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-12,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-07,-1.0,32.0,32.0,30.0,30.0,29.0,126.0,126.0,128.0,128.0,125.0,125.0,120.0,120.0,120.0,119.0,117.0,-1.0,0.0,0.0
2024-04-06,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-05,-1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,6.0,6.0,6.0,3.0,-1.0,0.0,0.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-01,-1.0,0.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
