date,Stuttgart_Hbf.in,Stuttgart_Hbf.out,Vaihingen(Enz).in,Vaihingen(Enz).out,Heidelberg_Hbf.in,Heidelberg_Hbf.out,Heppenheim(Bergstr).in,Heppenheim(Bergstr).out,Bensheim.in,Bensheim.out,Darmstadt_Hbf.in,Darmstadt_Hbf.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,4.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,-1.0
2024-05-28,-1.0,8.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,-1.0
2024-05-27,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,18.0,12.0,11.0,11.0,8.0,15.0,14.0,13.0,12.0,11.0,11.0,8.0,-1.0
2024-05-23,-1.0,4.0,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,7.0,-1.0
2024-05-22,-1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
2024-05-21,-1.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,-1.0
2024-05-16,-1.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,1.0,0.0,0.0,-1.0
2024-05-14,-1.0,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-13,-1.0,4.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,4.0,3.0,3.0,-1.0
2024-05-09,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-08,-1.0,3.0,0.0,0.0,1.0,1.0,7.0,7.0,6.0,5.0,5.0,4.0,8.0,-1.0
2024-05-07,-1.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,5.0,5.0,2.0,1.0,3.0,-1.0
