date,Bremen_Hbf.in,Bremen_Hbf.out,Hamburg-Harburg.in,Hamburg-Harburg.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-05-30,-1.0,1.0,2.0,0.0,3.0,3.0,5.0,4.0,3.0,-1.0
2024-05-29,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-28,-1.0,0.0,0.0,5.0,5.0,5.0,8.0,9.0,8.0,-1.0
2024-05-27,-1.0,0.0,1.0,0.0,2.0,1.0,5.0,4.0,4.0,-1.0
2024-05-24,-1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,-1.0
2024-05-23,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,-1.0
2024-05-22,-1.0,22.0,22.0,22.0,24.0,24.0,24.0,24.0,23.0,-1.0
2024-05-21,-1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,-1.0
2024-05-17,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,-1.0
2024-05-16,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,1.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,1.0,2.0,0.0,8.0,7.0,-1.0
2024-05-10,-1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-08,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-07,-1.0,1.0,0.0,-1.0,1.0,2.0,0.0,5.0,4.0,-1.0
2024-05-06,-1.0,0.0,6.0,6.0,5.0,5.0,10.0,9.0,3.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0
2024-05-02,-1.0,0.0,1.0,3.0,4.0,3.0,3.0,2.0,3.0,-1.0
2024-05-01,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,1.0,6.0,5.0,6.0,6.0,12.0,10.0,10.0,-1.0
2024-04-26,-1.0,0.0,0.0,-1.0,2.0,2.0,0.0,0.0,1.0,-1.0
2024-04-25,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,-1.0,-1.0
2024-04-24,-1.0,1.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,-1.0
2024-04-23,-1.0,0.0,16.0,17.0,19.0,19.0,21.0,20.0,19.0,-1.0
2024-04-22,-1.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,-1.0
2024-04-19,-1.0,0.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,-1.0
2024-04-18,-1.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,-1.0
2024-04-17,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-16,-1.0,41.0,40.0,40.0,40.0,40.0,42.0,41.0,41.0,-1.0
2024-04-15,-1.0,0.0,4.0,5.0,6.0,6.0,9.0,9.0,8.0,-1.0
2024-04-12,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-10,-1.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,4.0,-1.0
2024-04-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-05,-1.0,0.0,1.0,0.0,0.0,-1.0,2.0,0.0,0.0,-1.0
2024-04-04,-1.0,0.0,4.0,3.0,6.0,10.0,62.0,62.0,63.0,-1.0
2024-04-03,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,-1.0,-1.0
2024-04-02,-1.0,0.0,0.0,0.0,5.0,5.0,5.0,7.0,5.0,-1.0
