date,Oldenburg(Oldb)Hbf.in,Oldenburg(Oldb)Hbf.out,Delmenhorst.in,Delmenhorst.out,Bremen_Hbf.in,Bremen_Hbf.out,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Magdeburg_Hbf.in,Magdeburg_Hbf.out,Dessau_Hbf.in,Dessau_Hbf.out,Bitterfeld.in,Bitterfeld.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Riesa.in,Riesa.out,Elsterwerda.in,Elsterwerda.out,Dresden-Neustadt.in,Dresden-Neustadt.out,Dresden_Hbf.in,Dresden_Hbf.out
2024-05-30,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,-1.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,29.0,30.0,30.0,32.0,29.0,29.0,29.0,-1.0,-1.0,6.0,5.0,2.0,-1.0
2024-05-28,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,-1.0,2.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,2.0,2.0,3.0,3.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,-1.0,2.0,2.0,0.0,-1.0
2024-05-17,-1.0,1.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0,5.0,25.0,30.0,30.0,28.0,29.0,29.0,26.0,26.0,27.0,27.0,25.0,26.0,25.0,23.0,-1.0
2024-05-16,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,14.0,13.0,12.0,10.0,8.0,9.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,9.0,7.0,4.0,8.0,7.0,6.0,0.0,4.0,4.0,2.0,-1.0
2024-05-07,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,-1.0,2.0,1.0,1.0,2.0,1.0,10.0,9.0,11.0,11.0,4.0,4.0,8.0,9.0,10.0,11.0,10.0,7.0,3.0,3.0,6.0,0.0,2.0,1.0,0.0,-1.0
2024-05-02,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-26,-1.0,26.0,40.0,40.0,38.0,36.0,43.0,41.0,44.0,43.0,38.0,38.0,40.0,40.0,41.0,42.0,44.0,42.0,38.0,37.0,-1.0,-1.0,10.0,10.0,8.0,-1.0
2024-04-25,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-19,-1.0,1.0,0.0,0.0,2.0,2.0,12.0,10.0,10.0,11.0,10.0,9.0,10.0,11.0,18.0,18.0,16.0,15.0,12.0,12.0,25.0,13.0,23.0,22.0,20.0,-1.0
2024-04-18,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,0.0,3.0,3.0,1.0,-1.0
2024-04-11,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,18.0,16.0,15.0,14.0,11.0,20.0,19.0,19.0,19.0,15.0,16.0,17.0,17.0,18.0,18.0,15.0,12.0,14.0,14.0,13.0,1.0,18.0,17.0,16.0,-1.0
2024-04-04,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
