date,Haiger.in,Haiger.out,Dillenburg.in,Dillenburg.out,Herborn(Dillkr).in,Herborn(Dillkr).out,Wetzlar.in,Wetzlar.out,Bad_Nauheim.in,Bad_Nauheim.out,Frankfurt(Main)West.in,Frankfurt(Main)West.out,Frankfurt(Main)Hbf.in,Frankfurt(Main)Hbf.out
2024-05-30,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-29,-1.0,0.0,17.0,17.0,17.0,16.0,14.0,14.0,14.0,14.0,11.0,11.0,9.0,-1.0
2024-05-28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,7.0,4.0,4.0,4.0,-1.0
2024-05-27,-1.0,0.0,-1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,0.0,-1.0
2024-05-26,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-24,-1.0,0.0,-1.0,0.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,0.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,51.0,51.0,-1.0,-1.0
2024-05-21,-1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-17,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-16,-1.0,0.0,16.0,16.0,16.0,15.0,16.0,15.0,15.0,15.0,8.0,8.0,8.0,-1.0
2024-05-15,7.0,7.0,7.0,7.0,6.0,6.0,6.0,5.0,5.0,4.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,3.0,3.0,3.0,3.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0,2.0,-1.0
2024-05-08,-1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0
2024-05-07,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-06,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,-1.0
2024-05-05,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-05-03,48.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,56.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-05-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
2024-04-30,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
