date,Hannover_Hbf.in,Hannover_Hbf.out,Braunschweig_Hbf.in,Braunschweig_Hbf.out,Wolfsburg_Hbf.in,Wolfsburg_Hbf.out,Stendal_Hbf.in,Stendal_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin_Ostbahnhof.in,Berlin_Ostbahnhof.out
2024-05-23,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-22,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-21,-1.0,11.0,15.0,14.0,13.0,12.0,13.0,14.0,2.0,2.0,0.0,0.0,0.0,-1.0
2024-05-20,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-16,-1.0,0.0,8.0,8.0,7.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-05-15,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-14,-1.0,0.0,-1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-13,-1.0,26.0,27.0,28.0,28.0,28.0,27.0,28.0,19.0,18.0,13.0,9.0,10.0,-1.0
2024-05-12,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-05-09,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0
2024-05-07,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-06,-1.0,0.0,3.0,3.0,2.0,2.0,-1.0,-1.0,13.0,11.0,4.0,4.0,1.0,-1.0
2024-05-05,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-03,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-02,-1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-05-01,-1.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-30,-1.0,0.0,0.0,0.0,2.0,2.0,16.0,16.0,6.0,4.0,0.0,0.0,0.0,-1.0
2024-04-29,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-28,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-26,-1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-25,-1.0,1.0,10.0,11.0,11.0,12.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-24,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-1.0
2024-04-23,-1.0,0.0,1.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-22,-1.0,58.0,57.0,57.0,55.0,55.0,56.0,57.0,52.0,48.0,46.0,38.0,55.0,-1.0
2024-04-21,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-18,-1.0,0.0,6.0,6.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-17,-1.0,0.0,5.0,5.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-16,-1.0,17.0,15.0,16.0,14.0,15.0,15.0,16.0,16.0,13.0,14.0,13.0,11.0,-1.0
2024-04-15,-1.0,38.0,41.0,42.0,40.0,40.0,39.0,42.0,33.0,32.0,27.0,26.0,23.0,-1.0
2024-04-14,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,-1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-11,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-10,-1.0,1.0,13.0,12.0,11.0,11.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-09,-1.0,0.0,1.0,1.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,2.0,-1.0
2024-04-08,-1.0,33.0,35.0,35.0,33.0,33.0,32.0,33.0,27.0,26.0,30.0,29.0,28.0,-1.0
2024-04-07,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0
2024-04-04,-1.0,0.0,6.0,6.0,5.0,5.0,3.0,3.0,0.0,-1.0,0.0,0.0,0.0,-1.0
2024-04-03,-1.0,1.0,-1.0,-1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,-1.0
2024-04-02,-1.0,0.0,45.0,44.0,44.0,44.0,52.0,53.0,44.0,44.0,38.0,37.0,55.0,-1.0
2024-04-01,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
