date,München_Hbf.in,München_Hbf.out,Nürnberg_Hbf.in,Nürnberg_Hbf.out,Erlangen.in,Erlangen.out,Bamberg.in,Bamberg.out,Erfurt_Hbf.in,Erfurt_Hbf.out,Leipzig_Hbf.in,Leipzig_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Berlin-Spandau.in,Berlin-Spandau.out,Wittenberge.in,Wittenberge.out,Ludwigslust.in,Ludwigslust.out,Büchen.in,Büchen.out,Hamburg_Hbf.in,Hamburg_Hbf.out,Hamburg_Dammtor.in,Hamburg_Dammtor.out,Hamburg-Altona.in,Hamburg-Altona.out
2024-04-12,-1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,1.0,0.0,1.0,3.0,4.0,6.0,37.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,37.0,37.0,37.0,-1.0
2024-04-11,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-10,-1.0,2.0,5.0,4.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,2.0,1.0,1.0,6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,-1.0
2024-04-09,-1.0,2.0,1.0,2.0,8.0,8.0,8.0,9.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,-1.0
2024-04-08,-1.0,2.0,7.0,11.0,13.0,12.0,20.0,21.0,21.0,21.0,20.0,19.0,28.0,27.0,27.0,21.0,23.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,13.0,14.0,14.0,13.0,-1.0
2024-04-07,-1.0,12.0,13.0,12.0,16.0,15.0,17.0,17.0,12.0,12.0,7.0,7.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,-1.0
2024-04-06,-1.0,5.0,10.0,10.0,14.0,13.0,14.0,15.0,7.0,8.0,6.0,4.0,2.0,1.0,1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
2024-04-05,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,10.0,-1.0,-1.0
2024-04-04,-1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,2.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,13.0,13.0,12.0,-1.0
2024-04-03,-1.0,2.0,3.0,2.0,5.0,5.0,7.0,7.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,2.0,-1.0
2024-04-02,-1.0,1.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,5.0,5.0,-1.0
2024-04-01,-1.0,3.0,3.0,2.0,5.0,4.0,4.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,2.0,-1.0
