date,Leipzig_Hbf.in,Leipzig_Hbf.out,Berlin_Südkreuz.in,Berlin_Südkreuz.out,Berlin_Hbf.in,Berlin_Hbf.out,Hamburg_Hbf.in,Hamburg_Hbf.out
2024-05-30,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-27,0.0,65.0,65.0,65.0,74.0,73.0,65.0,0.0
2024-05-26,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0
2024-05-25,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2024-05-24,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-23,0.0,10.0,10.0,10.0,20.0,19.0,17.0,0.0
2024-05-20,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-18,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-05-11,0.0,0.0,0.0,0.0,25.0,28.0,22.0,0.0
2024-05-10,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2024-05-02,0.0,25.0,15.0,15.0,31.0,30.0,28.0,0.0
2024-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-21,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-19,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-18,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0
2024-04-14,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0
2024-04-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,0.0,13.0,14.0,10.0,0.0
2024-04-07,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-06,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2024-04-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
